
timestamp_ms,U1_raw,M1_raw,L1_raw,L2_raw,U2_raw,U1_g,M1_g,L1_g,L2_g,U2_g
33750,2331,0,3619,3141,0,132,0,760,329,0
33800,2753,0,3542,3065,0,205,0,641,298,0
33850,2990,1,3439,2932,0,271,0,524,252,0
33900,3155,5,3309,2796,0,336,0,421,215,0
33950,3210,8,3210,2723,0,363,0,363,198,0
34000,3283,13,3021,2507,0,404,0,281,158,0
34050,3323,40,2802,2250,0,430,0,217,122,0
34100,3362,244,2635,1806,0,459,0,180,79,0
34150,3409,8,2416,1073,0,497,0,144,36,0
34200,3470,8,2193,0,0,555,0,115,0,0
34250,3514,5,1647,0,0,605,0,67,0,0
34300,3524,4,1345,0,0,617,0,49,0,0
34350,3539,1,0,0,0,637,0,0,0,0
34400,3464,0,0,0,0,549,0,0,0,0
34450,3381,0,0,0,0,474,0,0,0,0
34500,3177,0,0,0,0,346,0,0,0,0
34550,2645,0,857,0,0,182,0,26,0,0
34600,1934,0,1321,0,0,89,0,48,0,0
34650,0,0,30,0,0,0,0,0,0,0
34700,0,0,0,0,0,0,0,0,0,0
34750,0,0,0,0,0,0,0,0,0,0
34800,0,0,184,0,0,0,0,0,0,0
34850,0,0,199,0,0,0,0,0,0,0
34900,0,0,478,0,0,0,0,13,0,0
34950,0,0,1150,0,0,0,0,39,0,0
35000,0,0,1710,99,0,0,0,72,0,0
35050,0,0,2267,1079,0,0,0,124,36,0
35100,0,0,2503,1588,0,0,0,157,63,0
35150,0,0,2852,2375,0,0,0,229,138,0
35200,140,0,3141,2695,0,0,0,329,193,0
35250,611,0,3295,2812,0,18,0,412,219,0
35300,1044,0,3332,2866,0,34,0,437,233,0
35350,1774,0,3427,2949,0,76,0,513,257,0
35400,2064,0,3502,3060,0,102,0,591,296,0
35450,2099,0,3568,3134,0,105,0,677,326,0
35500,2282,0,3594,3160,0,126,0,717,338,0
35550,2379,0,3610,3177,0,139,0,744,346,0
35600,2475,0,3650,3177,0,153,0,820,346,0
35650,2589,2,3632,3177,0,172,0,784,346,0
35700,2654,5,3623,3157,0,184,0,768,337,0
35750,2873,10,3618,3133,0,235,0,758,326,0
35800,2996,16,3590,3107,0,273,0,711,314,0
35850,3145,786,3553,3008,0,331,24,656,277,0
35900,3251,1244,3391,2844,0,385,44,482,227,0
35950,3266,1330,3183,2649,0,394,48,349,183,0
36000,3375,1336,2815,2044,0,469,48,220,100,0
36050,3436,1275,2593,1144,0,521,45,173,39,0
36100,3465,1253,2429,457,0,550,44,146,13,0
36150,3458,982,2454,443,0,543,32,150,12,0
36200,3444,833,2533,703,0,529,26,162,21,0
36250,3434,539,2550,705,0,520,15,165,21,0
36300,3408,12,2325,0,0,496,0,131,0,0
36350,3330,5,1702,0,0,435,0,71,0,0
36400,3228,0,953,0,0,372,0,30,0,0
36450,3014,0,366,0,0,279,0,0,0,0
36500,2819,0,709,0,0,221,0,21,0,0
36550,2268,0,1506,0,0,124,0,58,0,0
36600,1526,0,1750,0,0,59,0,75,0,0
36650,0,0,1241,0,0,0,0,43,0,0
36700,0,0,763,0,0,0,0,23,0,0
36750,0,0,429,0,0,0,0,12,0,0
36800,0,0,842,0,0,0,0,26,0,0
36850,0,0,1230,0,0,0,0,43,0,0
36900,0,0,1362,0,0,0,0,50,0,0
36950,0,0,1679,0,0,0,0,69,0,0
37000,0,0,1958,0,0,0,0,92,0,0
37050,0,0,2128,494,0,0,0,108,14,0
37100,0,0,2293,1182,0,0,0,127,41,0
37150,142,0,2558,1564,0,0,0,166,62,0
37200,1058,0,3016,2579,0,35,0,280,170,0
37250,1445,0,3295,2807,0,55,0,412,218,0
37300,1530,0,3381,2868,0,60,0,474,234,0
37350,1545,0,3414,2920,0,61,0,501,249,0
37400,2000,0,3503,2996,0,95,0,592,273,0
37450,2158,0,3534,3068,0,111,0,630,299,0
37500,2275,0,3538,3072,0,125,0,635,300,0
37550,2400,0,3558,3116,0,142,0,663,318,0
37600,2429,0,3572,3124,0,146,0,683,322,0
37650,2486,0,3575,3118,0,155,0,688,319,0
37700,2561,0,3565,3101,0,167,0,673,312,0
37750,2659,0,3543,3056,0,185,0,642,294,0
37800,2898,2,3501,3003,0,242,0,589,275,0
37850,2986,6,3475,2939,0,269,0,560,254,0
37900,3040,13,3409,2880,0,288,0,497,237,0
37950,3134,47,3275,2790,0,326,0,399,214,0
38000,3213,935,3149,2670,0,364,30,333,187,0
38050,3266,970,2965,2419,0,394,31,262,144,0
38100,3296,940,2800,2025,0,413,30,216,98,0
38150,3315,782,2683,1580,0,425,24,190,63,0
38200,3300,12,2592,1074,0,415,0,172,36,0
38250,3247,10,2558,667,0,383,0,166,19,0
38300,3143,2,2396,0,0,330,0,141,0,0
38350,3020,0,2164,0,0,281,0,112,0,0
38400,2745,0,1686,0,0,203,0,70,0,0
38450,2383,0,690,0,0,139,0,20,0,0
38500,1925,0,672,0,0,89,0,20,0,0
38550,1456,0,774,0,0,55,0,23,0,0
38600,207,0,1043,0,0,0,0,34,0,0
38650,0,0,803,0,0,0,0,24,0,0
38700,0,0,659,0,0,0,0,19,0,0
38750,0,0,764,0,0,0,0,23,0,0
38800,0,0,865,0,0,0,0,27,0,0
38850,0,0,1255,0,0,0,0,44,0,0
38900,0,0,1738,0,0,0,0,74,0,0
38950,0,0,2092,266,0,0,0,104,0,0
39000,0,0,2323,1002,0,0,0,131,32,0
39050,152,0,2484,1484,0,0,0,154,57,0
39100,193,0,2751,1774,0,0,0,205,76,0
39150,301,0,2867,2260,0,0,0,233,123,0
39200,1010,0,3040,2548,0,33,0,288,165,0
39250,1378,0,3210,2739,0,51,0,363,202,0
39300,1626,0,3304,2810,0,66,0,418,219,0
39350,1797,0,3350,2834,0,78,0,450,225,0
39400,1912,0,3401,2900,0,88,0,490,243,0
39450,2151,0,3474,2936,0,111,0,559,253,0
39500,2175,0,3511,2990,0,113,0,601,271,0
39550,2268,0,3533,3049,0,124,0,629,291,0
39600,2368,0,3568,3101,0,137,0,677,312,0
39650,2487,0,3602,3124,0,155,0,731,322,0
39700,2604,3,3626,3133,0,175,0,773,326,0
39750,2556,2,3638,3147,0,166,0,796,332,0
39800,2582,6,3642,3141,0,171,0,804,329,0
39850,2646,10,3643,3132,0,183,0,806,325,0
39900,2657,10,3650,3129,0,185,0,820,324,0
39950,2707,13,3658,3117,0,195,0,837,319,0
40000,2812,14,3619,3086,0,219,0,760,306,0
40050,2841,13,3584,3009,0,227,0,701,277,0
40100,2870,12,3561,2959,0,234,0,667,260,0
40150,2925,18,3518,2923,0,250,0,610,249,0
40200,2932,16,3505,2909,0,252,0,594,245,0
40250,2953,17,3455,2864,0,259,0,540,233,0
40300,2946,16,3267,2715,0,256,0,395,197,0
40350,2998,8,2944,2309,0,273,0,256,129,0
40400,2979,2,2696,1640,0,267,0,193,67,0
40450,2959,1,2519,749,0,260,0,160,22,0
40500,2991,0,2000,0,0,271,0,95,0,0
40550,2939,0,1216,0,0,254,0,42,0,0
40600,2756,0,596,0,0,206,0,17,0,0
40650,2495,0,339,0,0,156,0,0,0,0
40700,1813,0,345,0,0,79,0,0,0,0
40750,952,0,1020,0,0,30,0,33,0,0
40800,654,0,1937,32,0,19,0,90,0,0
40850,503,0,2478,1301,0,14,0,153,47,0
40900,466,0,2669,1559,0,13,0,187,61,0
40950,589,0,2898,2095,0,17,0,242,105,0
41000,250,0,3182,2552,0,0,0,349,165,0
41050,149,0,3372,2764,0,0,0,466,208,0
41100,0,0,3485,2876,0,0,0,571,236,0
41150,0,0,3594,3117,0,0,0,717,319,0
41200,0,0,3692,3211,0,0,0,916,363,0
41250,0,0,3771,3302,0,0,0,1164,416,0
41300,0,0,3808,3358,0,0,0,1327,456,0
41350,0,0,3823,3388,0,0,0,1406,479,0
41400,140,0,3830,3405,0,0,0,1445,493,0
41450,1200,0,3834,3412,0,41,0,1469,500,0
41500,1951,0,3821,3400,0,91,0,1395,489,0
41550,2439,0,3808,3371,0,147,0,1327,466,0
41600,2604,2,3802,3367,0,175,0,1298,462,0
41650,2665,13,3796,3370,0,186,0,1270,465,0
41700,2773,17,3796,3347,0,210,0,1270,447,0
41750,2865,19,3785,3337,0,233,0,1221,440,0
41800,2951,317,3771,3295,0,258,0,1164,412,0
